sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceTaxonKingdomName	sourceTaxonPhylumName	sourceTaxonClassName	sourceTaxonOrderName	sourceTaxonFamilyName	sourceTaxonGenusName	sourceTaxonSpecificEpithetName	sourceTaxonSubspecificEpithetName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetTaxonKingdomName	targetTaxonPhylumName	targetTaxonClassName	targetTaxonOrderName	targetTaxonFamilyName	targetTaxonGenusName	targetTaxonSpecificEpithetName	targetTaxonSubspecificEpithetName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
	GBIF:1428276	Sympetrum corruptum						Sympetrum	corruptum								RO:0002437	interactsWith		GBIF:1428276	Sympetrum corruptum						Sympetrum	corruptum											Patagonia Mountains, Coronado National Forest	31.408	-110.7381			2021-08-28T10:54:50			
	GBIF:5051641	Lestes alacer						Lestes	alacer								RO:0002437	interactsWith		GBIF:5051641	Lestes alacer						Lestes	alacer											Duquesne Road, Coronado National Forest	31.3378	-110.5453			2021-08-29			
	GBIF:5154145	Gargaphia arizonica						Gargaphia	arizonica								RO:0002470	eats		GBIF:3152612	Abutilon parvulum						Abutilon	parvulum											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-09-04			
	GBIF:5154145	Gargaphia arizonica						Gargaphia	arizonica								RO:0002470	eats		GBIF:3152612	Abutilon parvulum						Abutilon	parvulum											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-09-04			
	GBIF:4292058	Microlarinus lypriformis						Microlarinus	lypriformis								RO:0002454	hasHost		GBIF:3189896	Kallstroemia grandiflora						Kallstroemia	grandiflora											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-09-09			
	GBIF:4292058	Microlarinus lypriformis						Microlarinus	lypriformis								RO:0002454	hasHost		GBIF:3189896	Kallstroemia grandiflora						Kallstroemia	grandiflora											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-09-09			
	GBIF:4292058	Microlarinus lypriformis						Microlarinus	lypriformis								RO:0002454	hasHost		GBIF:3189896	Kallstroemia grandiflora						Kallstroemia	grandiflora											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-09-09			
	GBIF:2015352	Leuronota maculata						Leuronota	maculata								RO:0002470	eats		GBIF:2984498	Celtis ehrenbergiana						Celtis	ehrenbergiana											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-09-11			
	GBIF:4292058	Microlarinus lypriformis						Microlarinus	lypriformis								RO:0002454	hasHost		GBIF:3189896	Kallstroemia grandiflora						Kallstroemia	grandiflora											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-09-13			
	GBIF:4292058	Microlarinus lypriformis						Microlarinus	lypriformis								RO:0002454	hasHost		GBIF:3189896	Kallstroemia grandiflora						Kallstroemia	grandiflora											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-09-13			
